FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHSP
2020-09-11,3.3150,4.5090,0.61,场内买入,场内卖出,
2020-09-10,3.2950,4.4860,0.30,场内买入,场内卖出,
2020-09-09,3.2850,4.4740,-1.65,场内买入,场内卖出,
2020-09-08,3.3400,4.5390,1.15,场内买入,场内卖出,
2020-09-07,3.3020,4.4940,-1.70,场内买入,场内卖出,
2020-09-04,3.3590,4.5610,-0.74,场内买入,场内卖出,
2020-09-03,3.3840,4.5910,-0.41,场内买入,场内卖出,
2020-09-02,3.3980,4.6080,-0.23,场内买入,场内卖出,
2020-09-01,3.4060,4.6170,0.35,场内买入,场内卖出,
2020-08-31,3.3940,4.6030,-0.73,场内买入,场内卖出,
2020-08-28,3.4190,4.6320,2.33,场内买入,场内卖出,
2020-08-27,3.3410,4.5400,0.39,场内买入,场内卖出,
2020-08-26,3.3280,4.5250,-0.98,场内买入,场内卖出,
2020-08-25,3.3610,4.5640,0.36,场内买入,场内卖出,
2020-08-24,3.3490,4.5500,0.42,场内买入,场内卖出,
2020-08-21,3.3350,4.5330,0.66,场内买入,场内卖出,
2020-08-20,3.3130,4.5070,-1.28,场内买入,场内卖出,
2020-08-19,3.3560,4.5580,-1.76,场内买入,场内卖出,
2020-08-18,3.4160,4.6290,-0.06,场内买入,场内卖出,
2020-08-17,3.4180,4.6310,2.43,场内买入,场内卖出,
2020-08-14,3.3370,4.5350,1.43,场内买入,场内卖出,
2020-08-13,3.2900,4.4800,-0.24,场内买入,场内卖出,
2020-08-12,3.2980,4.4890,-0.39,场内买入,场内卖出,
2020-08-11,3.3110,4.5050,-0.69,场内买入,场内卖出,
2020-08-10,3.3340,4.5320,0.66,场内买入,场内卖出,
2020-08-07,3.3120,4.5060,-0.87,场内买入,场内卖出,
2020-08-06,3.3410,4.5400,0.00,场内买入,场内卖出,
2020-08-05,3.3410,4.5400,-0.60,场内买入,场内卖出,
2020-08-04,3.3610,4.5640,0.93,场内买入,场内卖出,
2020-08-03,3.3300,4.5270,0.97,场内买入,场内卖出,
2020-07-31,3.2980,4.4890,0.55,场内买入,场内卖出,
2020-07-30,3.2800,4.4680,-0.36,场内买入,场内卖出,
2020-07-29,3.2920,4.4820,1.79,场内买入,场内卖出,
2020-07-28,3.2340,4.4130,0.72,场内买入,场内卖出,
2020-07-27,3.2110,4.3860,0.16,场内买入,场内卖出,
2020-07-24,3.2060,4.3800,-3.81,场内买入,场内卖出,
2020-07-23,3.3330,4.5310,-0.12,场内买入,场内卖出,
2020-07-22,3.3370,4.5350,0.18,场内买入,场内卖出,
2020-07-21,3.3310,4.5280,-0.03,场内买入,场内卖出,
2020-07-20,3.3320,4.5290,3.19,场内买入,场内卖出,
2020-07-17,3.2290,4.4070,0.75,场内买入,场内卖出,
2020-07-16,3.2050,4.3790,-4.50,场内买入,场内卖出,
2020-07-15,3.3560,4.5580,-0.83,场内买入,场内卖出,
2020-07-14,3.3840,4.5910,-1.11,场内买入,场内卖出,
2020-07-13,3.4220,4.6360,1.24,场内买入,场内卖出,
2020-07-10,3.3800,4.5860,-2.37,场内买入,场内卖出,
2020-07-09,3.4620,4.6830,0.38,场内买入,场内卖出,
2020-07-08,3.4490,4.6680,1.41,场内买入,场内卖出,
2020-07-07,3.4010,4.6110,0.21,场内买入,场内卖出,
2020-07-06,3.3940,4.6030,6.76,场内买入,场内卖出,
2020-07-03,3.1790,4.3480,2.45,场内买入,场内卖出,
2020-07-02,3.1030,4.2580,2.44,场内买入,场内卖出,
2020-07-01,3.0290,4.1710,2.30,场内买入,场内卖出,
2020-06-30,2.9610,4.0900,0.82,场内买入,场内卖出,
2020-06-29,2.9370,4.0620,-0.64,场内买入,场内卖出,
2020-06-24,2.9560,4.0840,0.92,场内买入,场内卖出,
2020-06-23,2.9290,4.0520,0.10,场内买入,场内卖出,
2020-06-22,2.9260,4.0490,-0.14,场内买入,场内卖出,
2020-06-19,2.9300,4.0530,1.28,场内买入,场内卖出,
2020-06-18,2.8930,4.0100,0.35,场内买入,场内卖出,
2020-06-17,2.8830,3.9980,0.07,场内买入,场内卖出,
2020-06-16,2.8810,3.9950,1.41,场内买入,场内卖出,
2020-06-15,2.8410,3.9480,-1.53,场内买入,场内卖出,
2020-06-12,2.8850,4.0000,0.17,场内买入,场内卖出,
2020-06-11,2.8800,3.9940,-1.03,场内买入,场内卖出,
2020-06-10,2.9100,4.0300,-0.51,场内买入,场内卖出,
2020-06-09,2.9250,4.0480,0.62,场内买入,场内卖出,
2020-06-08,2.9070,4.0260,0.45,场内买入,场内卖出,
2020-06-05,2.8940,4.0110,0.45,场内买入,场内卖出,
2020-06-04,2.8810,3.9950,-0.17,场内买入,场内卖出,
2020-06-03,2.8860,4.0010,0.10,场内买入,场内卖出,
2020-06-02,2.8830,3.9980,0.52,场内买入,场内卖出,
2020-06-01,2.8680,3.9800,2.28,场内买入,场内卖出,
2020-05-29,2.8040,3.9040,0.00,场内买入,场内卖出,
2020-05-28,2.8040,3.9040,0.50,场内买入,场内卖出,
2020-05-27,2.7900,3.8880,-0.50,场内买入,场内卖出,
2020-05-26,2.8040,3.9040,0.68,场内买入,场内卖出,
2020-05-25,2.7850,3.8820,0.51,场内买入,场内卖出,
2020-05-22,2.7710,3.8650,-2.46,场内买入,场内卖出,
2020-05-21,2.8410,3.9480,-0.35,场内买入,场内卖出,
2020-05-20,2.8510,3.9600,-0.14,场内买入,场内卖出,
2020-05-19,2.8550,3.9650,0.81,场内买入,场内卖出,
2020-05-18,2.8320,3.9370,0.60,场内买入,场内卖出,
2020-05-15,2.8150,3.9170,-0.46,场内买入,场内卖出,
