日期,单位净值,历史净值,日增长率,申购状态,赎回状态
2012-05-04,1.007,1.007,%,场内买入,场内卖出
2012-05-11,2.637,0.978,-2.86%,场内买入,场内卖出
2012-05-18,2.574,0.955,-2.39%,场内买入,场内卖出
2012-05-21,2.588,0.96,0.54%,场内买入,场内卖出
2012-05-25,2.574,0.955,-0.54%,场内买入,场内卖出
2012-05-28,2.615,0.97,1.59%,场内买入,场内卖出
2012-05-29,2.652,0.984,1.41%,场内买入,场内卖出
2012-05-30,2.643,0.98,-0.34%,场内买入,场内卖出
2012-05-31,2.635,0.977,-0.30%,场内买入,场内卖出
2012-06-01,2.636,0.978,0.04%,场内买入,场内卖出
2012-06-04,2.563,0.951,-2.77%,场内买入,场内卖出
2012-06-05,2.563,0.951,0.00%,场内买入,场内卖出
2012-06-06,2.562,0.95,-0.04%,场内买入,场内卖出
2012-06-07,2.55,0.946,-0.47%,场内买入,场内卖出
2012-06-08,2.533,0.94,-0.67%,场内买入,场内卖出
2012-06-11,2.568,0.953,1.38%,场内买入,场内卖出
2012-06-12,2.551,0.946,-0.66%,场内买入,场内卖出
2012-06-13,2.592,0.962,1.61%,场内买入,场内卖出
2012-06-14,2.574,0.955,-0.69%,场内买入,场内卖出
2012-06-15,2.583,0.958,0.35%,场内买入,场内卖出
2012-06-18,2.596,0.963,0.50%,场内买入,场内卖出
2012-06-19,2.574,0.955,-0.85%,场内买入,场内卖出
2012-06-20,2.57,0.953,-0.16%,场内买入,场内卖出
2012-06-21,2.531,0.939,-1.52%,场内买入,场内卖出
2012-06-25,2.478,0.919,-2.09%,场内买入,场内卖出
2012-06-26,2.481,0.92,0.12%,场内买入,场内卖出
2012-06-27,2.473,0.917,-0.32%,场内买入,场内卖出
2012-06-28,2.452,0.91,-0.85%,场内买入,场内卖出
2012-06-29,2.487,0.923,1.43%,场内买入,场内卖出
2012-06-30,2.487,0.923,0.00%,场内买入,场内卖出
2012-07-02,2.492,0.924,0.20%,场内买入,场内卖出
2012-07-03,2.495,0.926,0.12%,场内买入,场内卖出
2012-07-04,2.492,0.924,-0.12%,场内买入,场内卖出
2012-07-05,2.46,0.913,-1.28%,场内买入,场内卖出
2012-07-06,2.503,0.928,1.75%,场内买入,场内卖出
2012-07-09,2.447,0.908,-2.24%,场内买入,场内卖出
2012-07-10,2.438,0.904,-0.37%,场内买入,场内卖出
2012-07-11,2.457,0.911,0.78%,场内买入,场内卖出
2012-07-12,2.481,0.92,0.98%,场内买入,场内卖出
2012-07-13,2.483,0.921,0.08%,场内买入,场内卖出
2012-07-16,2.433,0.903,-2.01%,场内买入,场内卖出
2012-07-17,2.447,0.908,0.58%,场内买入,场内卖出
2012-07-18,2.447,0.908,0.00%,场内买入,场内卖出
2012-07-19,2.458,0.912,0.45%,场内买入,场内卖出
2012-07-20,2.432,0.902,-1.06%,场内买入,场内卖出
2012-07-23,2.399,0.89,-1.36%,场内买入,场内卖出
2012-07-24,2.409,0.894,0.42%,场内买入,场内卖出
2012-07-25,2.393,0.888,-0.66%,场内买入,场内卖出
2012-07-26,2.381,0.883,-0.50%,场内买入,场内卖出
2012-07-27,2.383,0.884,0.08%,场内买入,场内卖出
2012-07-30,2.37,0.879,-0.55%,场内买入,场内卖出
2012-07-31,2.367,0.878,-0.13%,场内买入,场内卖出
2012-08-01,2.393,0.888,1.10%,场内买入,场内卖出
2012-08-02,2.37,0.879,-0.96%,场内买入,场内卖出
2012-08-03,2.39,0.887,0.84%,场内买入,场内卖出
2012-08-06,2.422,0.898,1.34%,场内买入,场内卖出
2012-08-07,2.425,0.9,0.12%,场内买入,场内卖出
2012-08-08,2.427,0.9,0.08%,场内买入,场内卖出
2012-08-09,2.449,0.908,0.91%,场内买入,场内卖出
2012-08-10,2.437,0.904,-0.49%,场内买入,场内卖出
2012-08-13,2.389,0.886,-1.97%,场内买入,场内卖出
2012-08-14,2.395,0.888,0.25%,场内买入,场内卖出
2012-08-15,2.369,0.879,-1.09%,场内买入,场内卖出
2012-08-16,2.357,0.874,-0.51%,场内买入,场内卖出
2012-08-17,2.351,0.872,-0.25%,场内买入,场内卖出
2012-08-20,2.339,0.868,-0.51%,场内买入,场内卖出
2012-08-21,2.351,0.872,0.51%,场内买入,场内卖出
2012-08-22,2.333,0.865,-0.77%,场内买入,场内卖出
2012-08-23,2.339,0.868,0.26%,场内买入,场内卖出
2012-08-24,2.312,0.858,-1.15%,场内买入,场内卖出
2012-08-27,2.264,0.84,-2.08%,场内买入,场内卖出
2012-08-28,2.274,0.844,0.44%,场内买入,场内卖出
2012-08-29,2.251,0.835,-1.01%,场内买入,场内卖出
2012-08-30,2.247,0.834,-0.18%,场内买入,场内卖出
2012-08-31,2.24,0.831,-0.31%,场内买入,场内卖出
2012-09-03,2.265,0.84,1.12%,场内买入,场内卖出
2012-09-04,2.241,0.831,-1.06%,场内买入,场内卖出
2012-09-05,2.236,0.829,-0.22%,场内买入,场内卖出
2012-09-06,2.255,0.836,0.85%,场内买入,场内卖出
2012-09-07,2.355,0.874,4.43%,场内买入,场内卖出
2012-09-10,2.364,0.877,0.38%,场内买入,场内卖出
2012-09-11,2.349,0.871,-0.63%,场内买入,场内卖出
2012-09-12,2.358,0.875,0.38%,场内买入,场内卖出
2012-09-13,2.336,0.867,-0.93%,场内买入,场内卖出
2012-09-14,2.353,0.873,0.73%,场内买入,场内卖出
2012-09-17,2.296,0.852,-2.42%,场内买入,场内卖出
2012-09-18,2.272,0.843,-1.05%,场内买入,场内卖出
2012-09-19,2.283,0.847,0.48%,场内买入,场内卖出
2012-09-20,2.232,0.828,-2.23%,场内买入,场内卖出
2012-09-21,2.235,0.829,0.13%,场内买入,场内卖出
2012-09-24,2.252,0.835,0.76%,场内买入,场内卖出
2012-09-25,2.246,0.833,-0.27%,场内买入,场内卖出
2012-09-26,2.221,0.824,-1.11%,场内买入,场内卖出
2012-09-27,2.288,0.849,3.02%,场内买入,场内卖出
2012-09-28,2.33,0.864,1.84%,场内买入,场内卖出
2012-09-30,2.33,0.864,0.00%,场内买入,场内卖出
2012-10-08,2.306,0.855,-1.03%,场内买入,场内卖出
2012-10-09,2.357,0.874,2.21%,场内买入,场内卖出
2012-10-10,2.361,0.876,0.17%,场内买入,场内卖出
2012-10-11,2.339,0.868,-0.93%,场内买入,场内卖出
2012-10-12,2.341,0.868,0.09%,场内买入,场内卖出
2012-10-15,2.331,0.865,-0.43%,场内买入,场内卖出
2012-10-16,2.334,0.866,0.13%,场内买入,场内卖出
2012-10-17,2.337,0.867,0.13%,场内买入,场内卖出
2012-10-18,2.373,0.88,1.54%,场内买入,场内卖出
2012-10-19,2.369,0.879,-0.17%,场内买入,场内卖出
2012-10-22,2.378,0.882,0.38%,场内买入,场内卖出
2012-10-23,2.348,0.871,-1.26%,场内买入,场内卖出
2012-10-24,2.344,0.87,-0.17%,场内买入,场内卖出
2012-10-25,2.327,0.863,-0.73%,场内买入,场内卖出
2012-10-26,2.283,0.847,-1.89%,场内买入,场内卖出
2012-10-29,2.271,0.842,-0.53%,场内买入,场内卖出
2012-10-30,2.275,0.844,0.18%,场内买入,场内卖出
2012-10-31,2.29,0.849,0.66%,场内买入,场内卖出
2012-11-01,2.334,0.866,1.92%,场内买入,场内卖出
2012-11-02,2.343,0.869,0.39%,场内买入,场内卖出
2012-11-05,2.338,0.867,-0.21%,场内买入,场内卖出
2012-11-06,2.328,0.864,-0.43%,场内买入,场内卖出
2012-11-07,2.323,0.862,-0.21%,场内买入,场内卖出
2012-11-08,2.281,0.846,-1.81%,场内买入,场内卖出
2012-11-09,2.276,0.844,-0.22%,场内买入,场内卖出
2012-11-12,2.287,0.848,0.48%,场内买入,场内卖出
2012-11-13,2.247,0.834,-1.75%,场内买入,场内卖出
2012-11-14,2.258,0.838,0.49%,场内买入,场内卖出
2012-11-15,2.228,0.826,-1.33%,场内买入,场内卖出
2012-11-16,2.212,0.821,-0.72%,场内买入,场内卖出
2012-11-19,2.209,0.819,-0.14%,场内买入,场内卖出
2012-11-20,2.199,0.816,-0.45%,场内买入,场内卖出
2012-11-21,2.229,0.827,1.36%,场内买入,场内卖出
2012-11-22,2.212,0.821,-0.76%,场内买入,场内卖出
2012-11-23,2.227,0.826,0.68%,场内买入,场内卖出
2012-11-26,2.209,0.819,-0.81%,场内买入,场内卖出
2012-11-27,2.184,0.81,-1.13%,场内买入,场内卖出
2012-11-28,2.162,0.802,-1.01%,场内买入,场内卖出
2012-11-29,2.149,0.797,-0.60%,场内买入,场内卖出
2012-11-30,2.173,0.806,1.12%,场内买入,场内卖出
2012-12-03,2.142,0.795,-1.43%,场内买入,场内卖出
2012-12-04,2.165,0.803,1.07%,场内买入,场内卖出
2012-12-05,2.242,0.832,3.56%,场内买入,场内卖出
2012-12-06,2.238,0.83,-0.18%,场内买入,场内卖出
2012-12-07,2.281,0.846,1.92%,场内买入,场内卖出
2012-12-10,2.306,0.855,1.10%,场内买入,场内卖出
2012-12-11,2.293,0.851,-0.56%,场内买入,场内卖出
2012-12-12,2.302,0.854,0.39%,场内买入,场内卖出
2012-12-13,2.277,0.845,-1.09%,场内买入,场内卖出
2012-12-14,2.391,0.887,5.01%,场内买入,场内卖出
2012-12-17,2.402,0.891,0.46%,场内买入,场内卖出
2012-12-18,2.371,0.892,0.08%,场内买入,场内卖出
2012-12-19,2.374,0.893,0.13%,场内买入,场内卖出
2012-12-20,2.387,0.898,0.55%,场内买入,场内卖出
2012-12-21,2.374,0.893,-0.54%,场内买入,场内卖出
2012-12-24,2.383,0.896,0.38%,场内买入,场内卖出
2012-12-25,2.45,0.921,2.81%,场内买入,场内卖出
2012-12-26,2.46,0.925,0.41%,场内买入,场内卖出
2012-12-27,2.447,0.92,-0.53%,场内买入,场内卖出
2012-12-28,2.482,0.933,1.43%,场内买入,场内卖出
2012-12-31,2.525,0.949,1.73%,场内买入,场内卖出
2013-01-04,2.527,0.95,0.08%,场内买入,场内卖出
2013-01-07,2.5381,0.9537,0.44%,场内买入,场内卖出
2013-01-08,2.5276,0.9499,-0.41%,场内买入,场内卖出
2013-01-09,2.5283,0.9501,0.03%,场内买入,场内卖出
2013-01-10,2.5328,0.9518,0.18%,场内买入,场内卖出
2013-01-11,2.4856,0.9343,-1.86%,场内买入,场内卖出
2013-01-14,2.5797,0.9692,3.79%,场内买入,场内卖出
2013-01-15,2.5977,0.9759,0.70%,场内买入,场内卖出
2013-01-16,2.5791,0.969,-0.72%,场内买入,场内卖出
2013-01-17,2.5547,0.9599,-0.95%,场内买入,场内卖出
2013-01-18,2.5974,0.9757,1.67%,场内买入,场内卖出
2013-01-21,2.6128,0.9815,0.59%,场内买入,场内卖出
2013-01-22,2.5989,0.9763,-0.53%,场内买入,场内卖出
2013-01-23,2.6096,0.9803,0.41%,场内买入,场内卖出
2013-01-24,2.5847,0.971,-0.95%,场内买入,场内卖出
2013-01-25,2.5737,0.967,-0.43%,场内买入,场内卖出
2013-01-28,2.6533,0.9965,3.09%,场内买入,场内卖出
2013-01-29,2.6767,1.0052,0.88%,场内买入,场内卖出
2013-01-30,2.6892,1.0098,0.47%,场内买入,场内卖出
2013-01-31,2.6873,1.0091,-0.07%,场内买入,场内卖出
2013-02-01,2.7429,1.0297,2.07%,场内买入,场内卖出
2013-02-04,2.7469,1.0312,0.15%,场内买入,场内卖出
2013-02-05,2.7706,1.04,0.86%,场内买入,场内卖出
2013-02-06,2.7747,1.0415,0.15%,场内买入,场内卖出
2013-02-07,2.7585,1.0355,-0.58%,场内买入,场内卖出
2013-02-08,2.7705,1.04,0.44%,场内买入,场内卖出
2013-02-18,2.7362,1.0272,-1.24%,场内买入,场内卖出
2013-02-19,2.6846,1.0081,-1.89%,场内买入,场内卖出
2013-02-20,2.7016,1.0144,0.63%,场内买入,场内卖出
2013-02-21,2.61,0.9804,-3.39%,场内买入,场内卖出
2013-02-22,2.5959,0.9752,-0.54%,场内买入,场内卖出
